,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
74,Port Townsend,1,US,1552699242,62,48.12,-122.76,55.99,4.7
75,Khatanga,36,RU,1552699010,69,71.98,102.47,-9.87,6.96
76,Vestmannaeyjar,48,IS,1552699196,100,63.44,-20.27,35.22,9.31
77,Berdigestyakh,24,RU,1552698739,64,62.1,126.7,-4.52,2.71
78,Ponta do Sol,44,BR,1552699422,87,-20.63,-46.0,72.44,3.04
79,Albany,1,US,1552698843,70,42.65,-73.75,57.0,17.22
80,Diamantino,0,BR,1552699424,86,-14.4,-56.44,79.19,2.71
81,Mahebourg,20,MU,1552698843,94,-20.41,57.7,77.0,4.7
82,Pevek,0,RU,1552698980,96,69.7,170.27,-16.53,0.69
83,Alofi,75,NU,1552694400,88,-19.06,-169.92,77.0,5.82
84,Poya,0,NC,1552699429,98,-21.35,165.16,78.87,1.81
85,Qasigiannguit,76,GL,1552697400,65,68.82,-51.19,3.2,3.36
86,Cockburn Town,88,TC,1552698912,100,21.46,-71.14,74.46,20.83
87,Prince Rupert,90,CA,1552698000,65,54.32,-130.32,46.4,9.17
88,Talnakh,48,RU,1552699111,83,69.49,88.39,0.26,4.94
89,Abha,0,SA,1552694400,82,18.22,42.5,59.0,11.41
90,Tumut,8,AU,1552699435,70,-35.3,148.22,68.61,4.94
91,Tasiilaq,0,GL,1552697400,78,65.61,-37.64,17.6,3.36
92,Port Alfred,92,ZA,1552698964,98,-33.59,26.89,73.0,1.01
93,Huancavelica,88,PE,1552699439,100,-12.79,-74.97,43.37,1.59
94,Concarneau,90,FR,1552699407,87,47.88,-3.92,52.0,13.87
95,Puerto Madero,90,AR,1552699407,88,-34.61,-58.36,73.4,11.41
96,Torbay,90,CA,1552699086,68,47.66,-52.73,30.99,17.22
97,Lorengau,64,PG,1552699443,93,-2.02,147.27,84.36,11.77
98,Kununurra,0,AU,1552696200,62,-15.77,128.74,87.8,5.82
99,Poum,0,MK,1552699446,74,41.28,20.71,18.62,1.81
100,Luderitz,56,NA,1552699450,94,-26.65,15.16,59.88,8.41
101,Gazi,75,GR,1552699331,81,35.33,25.07,54.0,24.16
102,Thompson,20,CA,1552694400,48,55.74,-97.86,19.4,6.93
103,Bonavista,100,CA,1552698934,78,48.65,-53.11,30.99,4.0
104,Emba,40,CY,1552698902,76,34.81,32.42,59.0,10.29
105,Presidencia Roque Saenz Pena,88,AR,1552699456,89,-26.79,-60.44,72.44,12.21
106,Grand Gaube,20,MU,1552698843,94,-20.01,57.66,77.0,4.7
107,Hanover,75,DE,1552699279,70,52.37,9.74,45.0,13.87
108,Atuona,0,PF,1552699215,100,-9.8,-139.03,82.16,14.0
109,Kushima,20,JP,1552699387,37,31.5,131.29,51.8,20.8
110,Nome,75,US,1552699236,44,30.04,-94.42,59.0,4.7
111,Fortuna,0,ES,1552698904,57,38.18,-1.13,57.0,4.7
112,Alvorada,0,BR,1552699407,78,-30.0,-51.08,75.2,11.41
113,Shingu,75,JP,1552694400,80,33.72,135.99,41.0,8.05
114,Hualmay,8,PE,1552699147,78,-11.1,-77.61,72.57,5.28
115,Grindavik,75,IS,1552698996,100,63.84,-22.43,36.0,8.05
116,Coquimbo,75,CL,1552694400,82,-29.95,-71.34,60.8,5.82
117,Riyadh,0,SA,1552694400,35,24.63,46.72,57.2,3.49
118,Qaqortoq,8,GL,1552697400,56,60.72,-46.03,30.2,3.36
119,Altay,80,CN,1552699473,77,47.83,88.13,16.77,2.15
120,Kodiak,1,US,1552698908,29,39.95,-94.76,43.0,9.17
121,Kaitangata,0,NZ,1552699223,65,-46.28,169.85,63.48,11.54
122,Kruisfontein,68,ZA,1552699237,87,-34.0,24.73,67.98,13.67
123,Yulara,20,AU,1552694400,17,-25.24,130.99,84.2,13.87
124,Waingapu,92,ID,1552699478,100,-9.65,120.26,75.27,4.5
125,Harper,40,US,1552699314,34,30.3,-99.24,52.0,10.2
126,Andros Town,40,BS,1552698917,69,24.73,-77.79,73.4,8.05
127,Constitucion,90,MX,1552698616,11,23.99,-104.67,69.8,11.41
128,Upernavik,24,GL,1552699074,100,72.79,-56.15,-7.04,14.45
129,Mwinilunga,24,ZM,1552699484,91,-11.73,24.43,64.2,2.26
130,Saint-Leu,20,RE,1552699035,64,-21.15,55.28,75.2,9.17
131,Gewane,64,ET,1552699486,74,10.16,40.66,69.78,2.71
132,Chokurdakh,56,RU,1552698908,72,70.62,147.9,-16.44,4.5
133,Jamame,48,SO,1552699488,86,0.07,42.75,78.78,9.98
134,Mantua,0,IT,1552699446,93,45.16,10.79,48.99,2.24
135,Doka,0,SD,1552699491,18,13.52,35.76,73.38,11.32
136,Tiksi,12,RU,1552699492,61,71.64,128.87,-21.3,2.71
137,Gushikawa,75,JP,1552699388,39,26.35,127.87,66.2,11.41
138,Tshikapa,56,CD,1552699495,99,-6.42,20.79,69.02,4.72
139,Lompoc,1,US,1552699030,48,34.64,-120.46,66.0,12.75
140,Vallenar,0,CL,1552699497,84,-28.58,-70.76,60.02,1.92
141,Maun,0,BW,1552698000,60,-19.99,23.42,68.0,6.93
142,Teabo,64,MX,1552699499,43,20.4,-89.28,89.13,5.17
143,Port Blair,0,IN,1552699210,100,11.67,92.75,82.16,7.63
144,Itarema,20,BR,1552699501,95,-2.92,-39.92,75.77,3.38
145,Lubaczow,92,PL,1552699243,89,50.16,23.12,42.01,11.99
146,Padilla,75,CO,1552698000,69,3.23,-76.31,77.0,6.93
147,Nanortalik,0,GL,1552693800,80,60.14,-45.24,30.2,2.24
148,Isangel,75,VU,1552694400,74,-19.55,169.27,87.8,6.93
149,Quesnel,1,CA,1552699232,42,52.98,-122.49,44.6,5.82
150,Jackson,1,US,1552699507,45,35.61,-88.82,50.0,5.82
151,Banda Aceh,0,ID,1552699502,99,5.56,95.32,71.81,2.15
152,Cherskiy,36,RU,1552699261,52,68.75,161.3,-17.97,3.27
153,Severodvinsk,90,RU,1552696200,92,64.56,39.82,30.2,11.18
154,Laguna,5,MX,1552693200,31,27.52,-110.01,73.4,11.41
155,Bathsheba,75,BB,1552694400,78,13.22,-59.52,78.8,16.11
156,Chabahar,36,IR,1552699515,98,25.29,60.65,70.23,2.82
157,Sabinopolis,68,BR,1552699516,80,-18.67,-43.08,72.03,3.15
158,Karratha,0,AU,1552699104,35,-20.74,116.85,88.19,11.88
159,Gravdal,92,NO,1552699509,86,59.79,5.78,41.0,9.17
160,Rocha,92,UY,1552699520,85,-34.48,-54.34,68.97,12.1
161,Punta Arenas,40,CL,1552698789,87,-53.16,-70.91,50.0,11.41
162,Killybegs,92,IE,1552699323,93,54.63,-8.45,36.0,1.99
163,Homer,90,US,1552699353,75,59.64,-151.54,45.0,16.11
164,Nemuro,75,JP,1552694400,96,43.32,145.57,32.0,5.82
165,Veraval,90,FR,1552699063,87,49.65,0.71,52.0,14.99
166,Henties Bay,48,NA,1552698136,92,-22.12,14.28,62.01,5.01
167,Cabo San Lucas,75,MX,1552698659,68,22.89,-109.91,70.0,8.05
168,Kavaratti,0,IN,1552699189,100,10.57,72.64,82.52,4.27
169,Saint-Augustin,90,FR,1552698934,87,44.83,-0.61,51.8,3.36
170,Hithadhoo,64,MV,1552699531,100,-0.6,73.08,83.64,4.83
171,Alta Floresta,12,BR,1552699532,81,-9.87,-56.08,81.48,1.81
172,Severobaykalsk,88,RU,1552699533,72,55.65,109.32,13.31,1.92
173,Dikson,8,RU,1552699061,75,73.51,80.55,0.03,10.98
174,Pisco,0,PE,1552694400,88,-13.71,-76.2,71.6,20.8
175,Ashington,20,GB,1552699525,75,55.18,-1.57,43.0,6.93
176,Tyret Pervaya,0,RU,1552699538,70,53.67,102.31,20.01,3.6
177,Vila Velha,75,BR,1552698493,94,-3.71,-38.6,75.0,8.05
178,Geraldton,90,CA,1552698000,78,49.72,-86.95,14.0,5.82
179,Gamba,20,CN,1552699541,56,28.28,88.52,-1.37,3.6
180,San Patricio,92,PY,1552699156,82,-26.98,-56.83,76.35,4.5
181,La Rioja,88,AR,1552699261,95,-29.41,-66.86,64.52,7.63
182,San Policarpo,0,PH,1552699545,90,12.18,125.51,79.5,9.19
183,Saint-Pierre,90,FR,1552698725,87,48.95,4.24,53.6,21.92
184,Marrakesh,0,MA,1552698000,39,31.63,-7.99,62.6,2.24
185,Rabo de Peixe,75,PT,1552699534,72,37.8,-25.58,59.0,4.7
186,Nikolskoye,90,RU,1552698935,92,59.7,30.79,36.0,11.18
187,Praxedis Guerrero,75,MX,1552699016,27,31.37,-106.02,53.6,17.22
188,Turochak,24,RU,1552699551,62,52.26,87.12,27.93,4.38
189,Svetlogorsk,0,RU,1552696200,72,53.14,59.15,12.2,4.47
190,Sarangani,0,PH,1552699126,98,5.4,125.46,80.49,11.88
191,Japura,32,ID,1552699555,91,-0.42,102.29,70.77,1.81
192,Maldonado,75,UY,1552694400,94,-34.91,-54.96,68.0,13.87
193,Dondo,88,MZ,1552699557,89,-19.62,34.74,79.91,16.8
194,Victoria,75,BN,1552696200,83,5.28,115.24,80.6,5.82
195,The Valley,20,AI,1552698965,69,18.22,-63.06,77.0,5.82
196,Iskateley,68,RU,1552699560,83,67.68,53.15,14.57,14.79
197,Gat,0,SN,1552698000,60,14.69,-16.54,69.8,14.99
198,East London,92,ZA,1552699013,100,-33.02,27.91,75.72,10.2
199,Rincon,75,US,1552699399,83,32.3,-81.24,73.4,4.7
200,Raichur,0,IN,1552699565,42,16.2,77.36,73.79,8.52
201,Mount Gambier,32,AU,1552694400,72,-37.83,140.78,64.4,4.7
202,Benxi,0,CN,1552696200,38,41.29,123.76,39.2,8.95
203,Deputatskiy,8,RU,1552699569,51,69.3,139.9,-18.87,2.48
204,Half Moon Bay,1,US,1552699569,76,37.46,-122.43,69.8,17.22
205,Vanavara,92,RU,1552699571,90,60.35,102.28,32.79,6.73
206,Cheremukhovo,48,RU,1552699572,86,56.23,46.23,17.94,6.73
207,Yantal,0,RU,1552699574,87,56.85,105.25,28.07,6.4
208,Zadar,0,HR,1552699573,93,44.12,15.24,48.0,6.93
209,Whyalla,0,AU,1552694400,47,-33.04,137.58,75.2,5.82
210,Faanui,20,PF,1552699075,100,-16.48,-151.75,83.42,1.36
211,Cap Malheureux,20,MU,1552699143,94,-19.98,57.61,75.99,4.7
212,Pyay,0,MM,1552699579,83,18.82,95.22,67.08,3.71
213,Zyryanka,48,RU,1552699580,67,65.73,150.89,-9.33,3.38
214,Shimoda,75,JP,1552699375,87,34.7,138.93,51.8,6.93
215,Ola,36,RU,1552699583,100,59.58,151.3,8.99,5.84
216,Saint George,20,GR,1552699397,73,39.45,22.34,45.0,4.38
217,Saint-Philippe,90,CA,1552699542,75,45.36,-73.48,44.01,14.99
218,Bambous Virieux,20,MU,1552699143,94,-20.34,57.76,75.99,4.7
219,Yaizu,75,JP,1552699559,40,34.83,138.3,55.0,5.82
220,College,75,US,1552699207,28,64.86,-147.8,42.8,10.29
221,Guerrero Negro,0,MX,1552699590,34,27.97,-114.04,71.99,11.32
222,Cayenne,40,GF,1552696200,83,4.94,-52.33,77.0,8.19
223,Bouca,20,CF,1552699592,73,6.51,18.28,77.21,8.75
224,Aklavik,20,CA,1552698000,52,68.22,-135.01,15.8,3.36
225,Bethel,1,US,1552697760,63,60.79,-161.76,32.0,12.75
226,Snezhnogorsk,75,RU,1552696200,79,69.19,33.23,28.4,2.24
227,Nkhotakota,8,MW,1552699597,95,-12.93,34.3,72.39,3.94
228,Bonthe,0,SL,1552699598,87,7.53,-12.5,80.58,5.61
229,Ancud,0,CL,1552694400,82,-41.87,-73.83,55.4,3.36
230,Hailar,12,CN,1552699601,76,49.2,119.7,20.28,7.07
231,Codrington,90,AU,1552698940,88,-28.95,153.24,72.0,3.36
232,Klaksvik,64,FO,1552697400,100,62.23,-6.59,37.4,12.75
233,Alanya,75,TR,1552697400,93,36.55,32.0,50.0,5.82
234,Carnarvon,80,ZA,1552699605,66,-30.97,22.13,65.55,3.71
235,Darhan,0,MN,1552699606,66,49.49,105.92,20.1,2.82
236,Srandakan,80,ID,1552699309,100,-7.94,110.25,72.21,3.94
237,Lagoa,0,PT,1552699330,50,37.14,-8.45,63.0,6.93
238,Castro,8,CL,1552694400,82,-42.48,-73.76,55.4,3.36
239,Russell,0,AR,1552698000,68,-33.01,-68.8,66.2,0.81
240,Aswan,0,EG,1552694400,25,24.09,32.9,60.8,6.93
241,Margate,75,AU,1552699574,59,-43.03,147.26,72.0,5.82
242,Paola,75,IT,1552699566,87,39.36,16.04,51.8,5.82
243,Sobolevo,36,RU,1552699616,88,54.43,31.9,30.99,17.81
244,Shetpe,88,KZ,1552699617,34,44.14,52.16,44.4,10.76
245,Lebowakgomo,0,ZA,1552698000,82,-24.3,29.54,62.6,3.36
246,Lexington,90,US,1552699503,56,38.05,-84.5,43.0,23.04
247,San Cristobal,40,EC,1552699009,87,-0.39,-78.55,60.8,3.36
248,Port Elizabeth,1,US,1552699615,82,39.31,-74.98,70.0,16.11
249,Salisbury,92,GB,1552699463,87,51.07,-1.8,52.0,14.99
250,Manta,8,RO,1552699509,74,45.1,24.1,39.0,3.38
251,Liyang,56,CN,1552699623,71,31.42,119.48,59.0,4.61
252,Egvekinot,64,RU,1552699471,79,66.32,-179.17,-5.6,8.41
253,Vikulovo,88,RU,1552699064,91,55.07,40.96,25.68,13.67
254,Kholodnyy,48,RU,1552699630,67,62.72,147.95,-11.85,3.71
255,Nyuksenitsa,88,RU,1552699631,89,60.41,44.24,26.27,13.44
256,Tuatapere,8,NZ,1552699204,73,-46.13,167.69,60.01,14.0
257,Tucuman,12,PE,1552699633,77,-17.17,-70.89,64.79,2.93
258,Huilong,100,CN,1552699634,84,28.89,110.18,49.98,1.92
259,Mezen,88,RU,1552699636,86,65.85,44.24,27.12,6.96
260,General Salgado,20,BR,1552699637,87,-20.65,-50.36,75.32,4.72
261,Buala,36,SB,1552699638,77,-8.15,159.59,87.11,4.61
262,Sabang,32,PH,1552699640,92,13.72,123.58,77.79,7.18
263,Salalah,75,OM,1552693800,73,17.01,54.1,77.0,8.05
264,Goure,24,NE,1552699642,20,13.98,10.27,79.95,10.98
265,Biak,44,ID,1552699643,78,-0.91,122.88,84.41,4.38
266,Dubai,0,AE,1552699454,60,25.27,55.3,78.01,9.17
267,Tumbagaan,8,PH,1552699414,100,5.37,120.31,81.66,19.71
268,Leningradskiy,68,RU,1552699647,100,69.38,178.42,-9.24,11.21
269,Narsaq,0,GL,1552697400,56,60.91,-46.05,30.2,3.36
270,Mundgod,0,IN,1552699649,49,14.97,75.04,65.82,6.62
271,Onalaska,90,US,1552699550,59,43.88,-91.23,33.8,14.99
272,Fort Nelson,75,CA,1552694400,26,58.81,-122.69,42.8,11.41
273,Mahajanga,20,MG,1552694400,83,-15.72,46.32,80.6,4.7
274,Dickinson,90,US,1552699510,80,46.88,-102.79,33.01,6.93
275,Ulladulla,40,AU,1552699026,60,-35.36,150.48,73.4,14.99
276,Clyde River,1,CA,1552698000,82,70.47,-68.59,-25.61,3.36
277,Rawson,68,AR,1552699660,96,-43.3,-65.11,61.86,6.17
278,Petrykiv,80,UA,1552699661,93,49.53,25.58,35.67,12.77
279,Kharp,36,RU,1552699663,45,66.82,65.8,-7.22,3.71
280,Bereda,90,ES,1552699439,100,43.27,-7.54,43.0,2.24
281,Richards Bay,44,ZA,1552699665,99,-28.77,32.06,69.92,3.15
282,Faya,0,SA,1552698000,87,18.39,42.45,59.0,10.29
283,Araouane,0,ML,1552699667,20,18.9,-3.53,62.27,7.96
284,Sosnogorsk,8,RU,1552699669,76,63.59,53.93,9.21,6.4
285,Norman Wells,5,CA,1552698000,49,65.28,-126.83,24.8,6.93
286,Port Pirie,0,AU,1552694400,47,-33.18,138.01,75.2,5.82
287,El Dorado,76,VE,1552699675,65,6.71,-61.64,80.54,3.94
288,Neuquen,75,AR,1552698000,72,-38.95,-68.06,62.6,10.42
289,Pocone,20,BR,1552699586,76,-16.26,-56.62,80.13,1.48
290,Tura,92,IN,1552699679,82,25.52,90.21,65.42,5.39
291,Solton,48,RU,1552699680,63,52.84,86.48,24.6,5.95
292,Roebourne,0,AU,1552699681,35,-20.77,117.15,88.19,11.88
293,Usinsk,44,RU,1552699685,75,66.0,57.56,-0.02,4.94
294,Touros,75,BR,1552698000,94,-5.2,-35.46,77.0,3.36
295,Champerico,75,MX,1552696800,65,16.38,-93.6,80.6,23.04
296,Anito,0,PH,1552699689,96,12.45,125.29,80.13,11.54
297,Severo-Kurilsk,88,RU,1552699657,100,50.68,156.12,27.03,10.87
298,Fort-Shevchenko,92,KZ,1552699691,80,44.51,50.26,45.12,12.44
299,San Quintin,0,PH,1552699470,72,17.54,120.52,74.46,3.71
300,Beinamar,0,TD,1552699693,69,8.67,15.38,72.39,2.93
301,Ribeira Grande,36,PT,1552699622,95,38.52,-28.7,61.91,18.03
302,Blagoveshchenka,0,RU,1552699696,76,52.83,79.87,20.55,9.19
303,Sinnamary,88,GF,1552699697,91,5.38,-52.96,80.94,11.21
304,Bosaso,0,SO,1552699698,100,11.28,49.18,77.07,7.63
305,Hobyo,92,SO,1552699699,84,5.35,48.53,78.92,10.65
306,Turukhansk,0,RU,1552699701,57,65.8,87.96,-6.27,6.73
307,Ajdabiya,88,LY,1552699702,80,30.75,20.22,57.86,10.42
308,Severo-Yeniseyskiy,64,RU,1552699703,92,60.37,93.04,31.67,2.59
309,Namibe,32,AO,1552699651,98,-15.19,12.15,79.82,6.96
310,Pangnirtung,56,CA,1552699705,80,66.15,-65.72,-5.15,0.69
311,Eureka,1,US,1552699506,71,40.8,-124.16,57.99,5.82
312,Klyuchi,12,RU,1552699708,85,52.25,79.17,23.52,9.53
313,Pokoynoye,92,RU,1552699709,85,44.81,44.25,38.37,5.73
314,Andapa,24,MG,1552699710,97,-14.66,49.65,66.86,2.15
315,Ketchikan,90,US,1552697760,70,55.34,-131.65,44.6,18.34
316,Dingle,12,PH,1552699647,74,11.0,122.67,78.15,12.66
317,Katobu,92,ID,1552699713,100,-4.94,122.53,75.45,3.38
318,Fukue,75,JP,1552699444,66,35.03,136.69,55.99,16.11
319,Launceston,75,AU,1552699568,59,-41.43,147.14,71.01,6.93
320,Katsuura,40,JP,1552699271,73,33.93,134.5,50.0,18.34
321,Wajid,0,SO,1552699721,55,3.81,43.25,75.86,10.2
322,Savannah Bight,0,HN,1552699722,90,16.45,-85.85,81.39,25.08
323,Landskrona,75,SE,1552699625,93,55.87,12.83,39.99,12.75
324,Inuvik,20,CA,1552698000,52,68.36,-133.71,15.8,3.36
325,Mesyagutovo,0,RU,1552699726,77,55.53,58.24,8.54,7.07
326,Batken,12,KG,1552699730,74,40.06,70.82,36.44,2.59
327,Souillac,90,FR,1552699629,93,45.6,-0.6,51.01,6.93
328,Finschhafen,80,PG,1552699732,88,-6.6,147.85,77.39,3.15
329,Velizh,64,RU,1552699733,84,55.61,31.2,32.84,19.82
330,Anadyr,75,RU,1552699388,77,64.73,177.51,1.4,2.24
331,Jiaxing,48,CN,1552699686,71,30.76,120.75,57.0,4.47
332,Oranjemund,92,ZA,1552699158,94,-28.55,16.43,64.38,3.38
333,Howell,75,US,1552699738,82,40.17,-74.19,69.8,12.75
334,Bud,12,NO,1552699200,59,62.91,6.91,35.6,17.22
335,Santa Marta,40,CO,1552699603,69,11.24,-74.21,84.0,13.87
336,Middle Island,90,US,1552699726,87,40.88,-72.94,55.99,12.75
337,Sangar,0,RU,1552699744,63,63.92,127.47,-4.07,3.6
338,Lubango,24,AO,1552699519,97,-14.92,13.49,64.61,2.15
339,Durazno,64,UY,1552699496,77,-33.38,-56.52,73.02,12.21
340,Jalu,0,LY,1552699747,78,29.03,21.55,54.12,10.54
341,Hay River,75,CA,1552698000,69,60.82,-115.79,33.8,5.82
342,Otane,24,NZ,1552698556,58,-39.89,176.62,78.01,1.01
343,Port Hardy,90,CA,1552698000,76,50.7,-127.42,48.2,12.75
344,Serenje,48,ZM,1552699752,96,-13.23,30.22,64.2,1.92
345,Sioux Lookout,90,CA,1552694520,73,50.1,-91.92,21.2,5.82
346,Vrangel,0,RU,1552699754,99,42.73,133.08,34.37,11.32
347,Bowen,24,AU,1552699737,66,-20.01,148.25,89.01,6.93
348,General Pico,76,AR,1552699757,79,-35.66,-63.75,66.9,5.06
349,Karksi-Nuia,88,EE,1552699696,92,58.1,25.55,37.0,5.01
350,Togur,68,RU,1552699744,94,58.36,82.83,32.57,9.42
351,Dvinskoy,92,RU,1552699760,86,62.16,45.12,27.21,8.3
352,Aba,48,NG,1552699761,94,5.11,7.36,73.92,3.15
353,Tongliao,32,CN,1552699762,75,43.61,122.27,29.55,5.06
354,Payo,32,ID,1552699764,92,-3.75,103.64,73.38,2.82
355,Sisimiut,0,GL,1552699639,46,66.94,-53.67,-16.53,1.7
356,Port-Gentil,36,GA,1552699766,98,-0.72,8.78,81.39,3.15
357,Nalut,0,LY,1552699767,70,31.86,10.98,45.12,2.93
358,Nchelenge,20,ZM,1552699768,93,-9.35,28.74,66.0,2.82
359,Ilulissat,76,GL,1552697400,65,69.22,-51.1,3.2,3.36
360,Sao Miguel do Araguaia,20,BR,1552699771,85,-13.28,-50.16,80.58,2.71
361,Palana,0,RU,1552699772,58,59.08,159.95,4.71,3.38
362,Port Lincoln,0,AU,1552699773,79,-34.72,135.86,71.04,10.54
363,Kichera,92,RU,1552699774,89,55.93,110.1,19.29,2.26
364,Lundazi,8,ZM,1552699775,78,-12.29,33.17,69.69,8.52
365,Berlevag,68,NO,1552699776,100,70.86,29.09,28.11,8.97
366,Tuensang,0,IN,1552699778,96,26.24,94.81,53.36,1.7
367,Fairbanks,75,US,1552699507,28,64.84,-147.72,42.8,10.29
368,Amga,48,RU,1552699780,69,60.89,131.98,3.86,3.15
369,Cravinhos,0,BR,1552698000,88,-21.34,-47.73,77.0,4.7
370,Bonfim,75,BR,1552698000,83,-20.33,-44.24,71.6,4.7
371,Taltal,0,CL,1552699784,78,-25.41,-70.49,62.09,1.7
372,Ouadda,12,CF,1552699785,26,8.07,22.4,80.04,11.77
373,Yerbogachen,88,RU,1552699715,93,61.28,108.01,27.75,5.73
374,Loiza,40,PR,1552699709,78,18.43,-65.88,77.0,9.17
